NAME: ber-53-2.txt
LOCATION: Berlin
COMMENT:  Sartori and Buriol (2019)
SIZE: 53
DEPOTS: 4
ROUTE-TIME: 240
TIME-WINDOW: 60
VEHICLES
<type>       <cw>        <mp>       
Light duty   3500        4000       
Medium duty  5500        12500      
Heavy duty   14000       26000      
NODES
<id>  <lt>         <lg>         <dem>    <lTW>    <uTW>    <dur>    <p>      <d>     
1     52.51529500  13.16368580  5920     58       118      40       0        19 40 47 50 
2     52.49777810  13.47086110  3520     238      298      20       0        20 39   
3     52.51062880  13.17770780  3000     143      203      30       0        21 42 44 
4     52.51198060  13.18096800  1240     150      210      10       0        22      
5     52.55292060  13.46807950  1000     0        480      10       0        23      
6     52.56788880  13.34799280  2800     0        480      20       0        24 45   
7     52.51612060  13.31825520  840      117      177      10       0        25      
8     52.56210560  13.48357580  4640     318      378      30       0        26 43 49 
9     52.55824230  13.15348330  1160     313      373      10       0        27      
10    52.54929920  13.19851250  6360     226      286      30       0        28 37 46 
11    52.55403000  13.35974490  1160     94       154      10       0        29      
12    52.56640860  13.37342310  2480     378      438      20       0        30 38   
13    52.57250720  13.37497320  5200     68       128      40       0        31 41 51 52 
14    52.59568810  13.36807980  600      8        68       10       0        32      
15    52.55460670  13.51797300  2080     31       91       20       0        33 53   
16    52.47558490  13.60802530  600      0        480      10       0        34      
17    52.56001860  13.41577990  2320     277      337      10       0        35      
18    52.57941120  13.36989960  4520     83       143      20       0        36 48   
19    52.46449570  13.16337750  -400     141      201      10       1        0       
20    52.52034270  13.54778610  -1760    266      326      10       2        0       
21    52.50607810  13.18521640  -680     157      217      10       3        0       
22    52.51839420  13.16693040  -1240    164      224      10       4        0       
23    52.54287080  13.56111620  -1000    0        480      10       5        0       
24    52.55788100  13.34114160  -520     0        480      10       6        0       
25    52.56074820  13.34360250  -840     141      201      10       7        0       
26    52.53594690  13.51805610  -1120    340      400      10       8        0       
27    52.52732990  13.14153920  -1160    334      394      10       9        0       
28    52.51393670  13.18781650  -2320    246      306      10       10       0       
29    52.56903610  13.36999270  -1160    109      169      10       11       0       
30    52.55197020  13.36674800  -480     392      452      10       12       0       
31    52.53348890  13.34390800  -1520    89       149      10       13       0       
32    52.58413120  13.36071150  -600     22       82       10       14       0       
33    52.52685970  13.55122190  -1200    52       112      10       15       0       
34    52.51688870  13.49021810  -600     0        480      10       16       0       
35    52.55274910  13.35727780  -2320    297      357      10       17       0       
36    52.56612210  13.36578000  -2240    100      160      10       18       0       
37    52.58581990  13.32355390  -2280    369      429      10       10       0       
38    52.56340510  13.48739990  -2000    153      213      10       12       0       
39    52.53933920  13.54903420  -1760    335      395      10       2        0       
40    52.51147330  13.17155240  -1640    394      454      10       1        0       
41    52.50665960  13.49608490  -680     42       102      10       13       0       
42    52.53898650  13.50936400  -1800    176      236      10       3        0       
43    52.52852780  13.17237210  -2000    93       153      10       8        0       
44    52.50792220  13.18170080  -520     83       143      10       3        0       
45    52.57364560  13.35783500  -2280    358      418      10       6        0       
46    52.55981610  13.35876540  -1760    347      407      10       10       0       
47    52.57978480  13.36906540  -1680    95       155      10       1        0       
48    52.57155510  13.40029040  -2280    241      301      10       18       0       
49    52.56610660  13.34996100  -1520    221      281      10       8        0       
50    52.57669980  13.35406590  -2200    16       76       10       1        0       
51    52.51353060  13.51530380  -2320    298      358      10       13       0       
52    52.57735960  13.31819990  -680     404      461      10       13       0       
53    52.52959160  13.17481270  -880     220      280      10       15       0       
DEPOTS
<id>  <lt>         <lg>         <lTW>    <uTW>   
54    52.46554110  13.34531450  0        240     
55    52.51876300  13.13167460  0        240     
56    52.51779200  13.16227080  0        240     
57    52.57542700  13.36044760  0        240     
